time,date,site,transect,flight_time,depth,heading,temp,groundSpeed,lat,lon,DVLx,DVLy,altitude,seq,EucDIS,width,height,area,DVLlat,DVLlon
14:52:52,10/10/2023,2,2,0:14:23,-14.59992,74,55.08,0,47.6267811,-122.3947403,25.2,-138.8,1.2,53.91666667,NA,3.364675907,1.470721892,4.948502514,47.627227,-122.394047
14:52:53,10/10/2023,2,2,0:14:24,-14.56944,75,55.08,0,47.6267792,-122.3947377,25.3,-138.8,1.23,53.93333333,0.039949795,3.448792804,1.507489939,5.199020454,47.62722733,-122.3940468
14:52:54,10/10/2023,2,2,0:14:25,-14.50848,72,55.08,0.1,47.6267825,-122.3947427,25.5,-138.8,1.25,53.95,0.079899588,3.504870736,1.53200197,5.369468874,47.62722798,-122.3940463
14:52:55,10/10/2023,2,2,0:14:26,-14.41704,73,55.08,0,47.6267824,-122.3947418,25.7,-138.7,1.27,53.96666667,0.089442682,3.560948668,1.556514002,5.542666462,47.62722848,-122.3940454
14:52:56,10/10/2023,2,2,0:14:27,-14.35608,60,55.08,0,47.6267837,-122.3947418,25.9,-138.7,1.32,53.98333333,0.079899589,3.701143497,1.617794081,5.987688042,47.62722913,-122.3940449
14:52:57,10/10/2023,2,2,0:14:28,-14.35608,49,55.08,0,47.6267834,-122.3947413,26,-138.8,1.37,54,0.056508207,3.841338327,1.67907416,6.449891923,47.62722961,-122.3940452
14:52:58,10/10/2023,2,2,0:14:29,-14.35608,40,55.06,0,47.6267809,-122.3947375,26,-138.9,1.35,54.01666667,0.040043439,3.785260395,1.654562128,6.262948494,47.62722976,-122.3940457
14:52:59,10/10/2023,2,2,0:14:30,-14.38656,33,55.08,0.1,47.6267776,-122.3947339,26,-139,1.36,54.03333333,0.040043442,3.813299361,1.666818144,6.356076562,47.62722991,-122.3940462
14:53:00,10/10/2023,2,2,0:14:31,-14.38656,24,55.06,0.1,47.6267803,-122.3947367,26,-139.1,1.35,54.05,0.040043439,3.785260395,1.654562128,6.262948494,47.62723006,-122.3940466
14:53:01,10/10/2023,2,2,0:14:32,-14.38656,16,55.08,0.1,47.6267804,-122.3947348,25.9,-139.3,1.36,54.06666667,0.089568219,3.813299361,1.666818144,6.356076562,47.62723004,-122.3940478
14:53:02,10/10/2023,2,2,0:14:33,-14.38656,8,55.06,0.1,47.6267858,-122.3947405,25.8,-139.5,1.34,54.08333333,0.089568219,3.757221429,1.642306112,6.170507718,47.62723002,-122.394049
14:53:03,10/10/2023,2,2,0:14:34,-14.38656,5,55.06,0.1,47.6267912,-122.3947439,25.6,-139.6,1.43,54.1,0.08944268,4.009572122,1.752610254,7.027217216,47.62722952,-122.39405
14:53:04,10/10/2023,2,2,0:14:35,-14.41704,5,55.08,0.1,47.6267925,-122.394744,25.4,-139.7,1.41,54.11666667,0.089442679,3.95349419,1.728098223,6.832026283,47.62722902,-122.3940509
14:53:05,10/10/2023,2,2,0:14:36,-14.41704,5,55.06,0.1,47.6267953,-122.394746,25.2,-139.7,1.41,54.13333333,0.079899587,3.95349419,1.728098223,6.832026283,47.62722837,-122.3940513
