"","red_algae","sugar_kelp","green_algae","soft_sediment","small_rocks","boulder_bedrock","remainder","row_sum","key","site","transect","depth","altitude","DVLlat","DVLlon","EucDIS","area","SU"
"1",1,26,4,14,3,1,1,50,"1_1",1,1,-5.15112,0.86,47.630268,-122.3982391,NA,2.54160587453648,1
"2",1,24,1,17,7,0,0,50,"1_1",1,1,-5.21208,0.74,47.6302683593212,-122.398241232748,0,1.88180553934042,2
"3",1,28,2,16,3,0,0,50,"1_1",1,1,-5.1816,0.81,47.630266562715,-122.398251363302,0.120173153423837,2.25466145792777,3
"4",4,25,1,19,1,0,0,50,"1_1",1,1,-5.21208,0.83,47.630266562715,-122.398258294733,0.0400577177718134,2.36737734852377,4
"5",2,27,4,16,1,0,0,50,"1_1",1,1,-5.21208,0.83,47.6302669220363,-122.398263093417,0.0400577175173105,2.36737734852377,5
"6",1,22,0,21,5,1,0,50,"1_1",1,1,-5.21208,0.84,47.6302676406788,-122.398270558035,0.120173150617079,2.42476623184551,6
"7",1,26,0,22,1,0,0,50,"1_1",1,1,-5.21208,0.84,47.6302669220363,-122.398280155402,0.126635023109643,2.42476623184551,7
"8",2,24,0,21,3,0,0,50,"1_1",1,1,-5.21208,0.83,47.630266562715,-122.398290285956,0.0801154351815226,2.36737734852377,8
"9",1,25,2,18,3,0,1,50,"1_1",1,1,-5.21208,0.85,47.6302658440725,-122.398302549258,0.126635025512278,2.48284240718308,9
"10",1,28,1,19,1,0,0,50,"1_1",1,1,-5.21208,0.87,47.6302654847513,-122.398316945308,0.120173155190022,2.6010566339057,10
"11",8,26,1,15,0,0,0,50,"1_1",1,1,-5.1816,0.9,47.6302651254301,-122.398330808171,0.126635025815006,2.78353266410836,11
"12",1,24,0,19,6,0,0,50,"1_1",1,1,-5.1816,0.89,47.6302640474663,-122.398345737408,0.160230875534921,2.72202002869165,12
"13",1,25,1,20,0,3,0,50,"1_1",1,1,-5.1816,0.92,47.6302633288239,-122.398358533897,0.120173159689946,2.90861981098928,13
"14",1,27,1,21,0,0,0,50,"1_1",1,1,-5.21208,0.88,47.6302618915389,-122.398369197637,0.0895171862139418,2.66119468529076,14
"15",1,23,1,22,3,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302611728964,-122.398380927752,0.120173164319139,2.84573259154091,15
"16",0,27,2,17,2,1,1,50,"1_1",1,1,-5.21208,0.91,47.6302618915389,-122.39839212468,0.0895171875358586,2.84573259154091,16
"17",2,25,1,22,0,0,0,50,"1_1",1,1,-5.1816,0.9,47.6302622508601,-122.398402255234,0.0801154411538719,2.78353266410836,17
"18",2,26,4,16,2,0,0,50,"1_1",1,1,-5.1816,0.94,47.6302622508601,-122.398413985349,0.120173159607314,3.03645612593352,18
"19",0,25,1,24,0,0,0,50,"1_1",1,1,-5.21208,0.92,47.6302629695026,-122.398424649089,0.0895171848124586,2.90861981098928,19
"20",2,27,3,17,1,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302647661088,-122.39843531283,0.0801154351751613,2.84573259154091,20
"21",1,23,1,22,0,0,3,50,"1_1",1,1,-5.1816,0.93,47.6302662033938,-122.398445443384,0.0895171810227393,2.97219432245349,21
"22",1,23,3,23,0,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302676406788,-122.398455573938,0.0895171772593169,2.84573259154091,22
"23",3,25,2,19,0,0,1,50,"1_1",1,1,-5.1816,0.93,47.6302690779637,-122.398460905808,0.040057715223636,2.97219432245349,23
"24",1,25,1,20,3,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302701559275,-122.39846783724,0.0895171738862048,2.84573259154091,24
"25",1,24,0,19,5,0,1,50,"1_1",1,1,-5.21208,0.93,47.6302697966062,-122.398473702297,0.0895171752674242,2.97219432245349,25
"26",1,25,1,19,4,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302690779637,-122.398483299664,0.0400577131435009,2.84573259154091,26
"27",3,28,4,12,1,1,1,50,"1_1",1,1,-5.27304,0.88,47.630269437285,-122.398489697908,0.0895171758675517,2.66119468529076,27
"28",1,24,1,21,2,1,0,50,"1_1",1,1,-5.24256,0.87,47.6302715932124,-122.39849662934,0.0565637961054076,2.6010566339057,28
"29",2,22,3,17,5,0,1,50,"1_1",1,1,-5.24256,0.86,47.6302715932124,-122.39850196121,0.080115426149753,2.54160587453648,29
"30",2,23,1,18,3,1,2,50,"1_1",1,1,-5.24256,0.86,47.6302719525337,-122.398507826267,0.0801154255171296,2.54160587453648,30
"31",0,25,1,22,1,1,0,50,"1_1",1,1,-5.24256,0.9,47.6302726711762,-122.398513158138,0.0801154244260828,2.78353266410836,31
"32",0,26,1,20,2,1,0,50,"1_1",1,1,-5.21208,0.9,47.6302730304974,-122.398523288692,0.0801154237501207,2.78353266410836,32
"33",2,22,2,23,1,0,0,50,"1_1",1,1,-5.21208,0.91,47.6302733898186,-122.398534485619,0.0895171684973479,2.84573259154091,33
"34",1,23,3,21,1,0,1,50,"1_1",1,1,-5.21208,0.87,47.6302733898186,-122.398543016612,0.0801154231400109,2.6010566339057,34
"35",1,25,2,21,1,0,0,50,"1_1",1,1,-5.21208,0.92,47.6302733898186,-122.39855048123,0.0801154230750042,2.90861981098928,35
"36",2,24,2,19,3,0,0,50,"1_1",1,1,-5.21208,0.94,47.6302726711762,-122.398556879475,0.0895171687190149,3.03645612593352,36
"37",1,23,3,20,3,0,0,50,"1_1",1,1,-5.21208,0.92,47.6302719525337,-122.398564877281,0.0895171712523471,2.90861981098928,37
"38",1,27,2,18,0,1,1,50,"1_1",1,1,-5.21208,0.96,47.6302701559275,-122.398575541021,0.0895171714752485,3.16704160894107,38
"39",1,25,2,20,0,1,1,50,"1_1",1,1,-5.21208,0.95,47.6302697966062,-122.398581406079,0.0400577142740278,3.10140522142938,39
"40",1,26,8,15,0,0,0,50,"1_1",1,1,-5.21208,0.95,47.6302705152487,-122.398588870697,0.0895171727662798,3.10140522142938,40
"41",1,23,2,20,3,0,1,50,"1_1",1,1,-5.21208,0.97,47.6302697966062,-122.398596868503,0.0801154283016391,3.23336528846859,41
"42",1,23,1,20,4,0,1,50,"1_1",1,1,-5.24256,0.96,47.6302690779637,-122.398605399495,0.126635015596411,3.16704160894107,42
"43",1,28,3,17,0,1,0,50,"1_1",1,1,-5.27304,0.94,47.6302662033938,-122.398613397301,0.0801154336357715,3.03645612593352,43
"44",1,23,0,20,4,2,0,50,"1_1",1,1,-5.24256,0.94,47.630268,-122.398619262358,0.0801154309149667,3.03645612593352,44
"45",1,25,0,20,4,0,0,50,"1_1",1,1,-5.24256,0.96,47.6302683593212,-122.398628859725,0.080115428383654,3.16704160894107,45
"46",3,26,1,20,0,0,0,50,"1_1",1,1,-5.24256,0.94,47.6302687186425,-122.398638990279,0.0895171753711852,3.03645612593352,46
"47",2,22,3,20,2,0,1,50,"1_1",1,1,-5.24256,0.97,47.630269437285,-122.398649120833,0.0801154284575967,3.23336528846859,47
"48",2,30,1,16,1,0,0,50,"1_1",1,1,-5.21208,0.96,47.6302701559275,-122.398652319955,0.0400577117805392,3.16704160894107,48
"49",0,26,4,18,1,1,0,50,"1_1",1,1,-5.24256,0.96,47.6302697966062,-122.398659784573,0.0801154260499218,3.16704160894107,49
"50",0,20,3,22,3,1,1,50,"1_1",1,1,-5.24256,0.97,47.6302687186425,-122.398669915127,0.126635014821185,3.23336528846859,50
"51",1,23,1,22,1,0,2,50,"1_1",1,1,-5.334,0.9,47.6302690779637,-122.398679512494,0.0565637967826815,2.78353266410836,51
"52",1,26,3,19,1,0,0,50,"1_1",1,1,-5.30352,0.92,47.630268,-122.398690709422,0.0895171767023801,2.90861981098928,52
"53",2,25,1,21,1,0,0,50,"1_1",1,1,-5.27304,0.95,47.6302676406788,-122.39870723822,0.160230859846887,3.10140522142938,53
"54",1,27,2,20,0,0,0,50,"1_1",1,1,-5.27304,0.95,47.6302676406788,-122.398717368774,0.120173146195674,3.10140522142938,54
"55",2,29,0,18,1,0,0,50,"1_1",1,1,-5.27304,0.93,47.6302687186425,-122.398727499327,0.120173141758461,2.97219432245349,55
"56",2,23,1,21,2,0,1,50,"1_1",1,1,-5.30352,0.94,47.6302672813575,-122.398735497133,0.126635017622188,3.03645612593352,56
