"red_algae","sugar_kelp","green_algae","soft_sediment","small_rocks","boulder_bedrock","remainder","row_sum","bull_kelp","kelp_crabs","SU","key","site","transect","depth","altitude","DVLlat","DVLlon","EucDIS","area"
1,24,4,21,0,0,0,50,3,20,1,"1_1",1,1,-5.15112,0.86,47.630268,-122.3982391,NA,2.54160587453648
1,24,3,21,0,0,1,50,6,25,2,"1_1",1,1,-5.21208,0.74,47.6302683593212,-122.398241232748,0,1.88180553934042
2,25,4,15,3,0,1,50,5,21,3,"1_1",1,1,-5.1816,0.81,47.630266562715,-122.398251363302,0.120173153423837,2.25466145792777
4,22,1,21,1,0,1,50,7,19,4,"1_1",1,1,-5.21208,0.83,47.630266562715,-122.398258294733,0.0400577177718134,2.36737734852377
2,22,3,16,3,4,0,50,9,14,5,"1_1",1,1,-5.21208,0.83,47.6302669220363,-122.398263093417,0.0400577175173105,2.36737734852377
3,22,2,20,2,1,0,50,4,17,6,"1_1",1,1,-5.21208,0.84,47.6302676406788,-122.398270558035,0.120173150617079,2.42476623184551
1,25,2,19,2,1,0,50,3,15,7,"1_1",1,1,-5.21208,0.84,47.6302669220363,-122.398280155402,0.126635023109643,2.42476623184551
2,24,5,16,3,0,0,50,2,23,8,"1_1",1,1,-5.21208,0.83,47.630266562715,-122.398290285956,0.0801154351815226,2.36737734852377
2,26,6,16,0,0,0,50,3,22,9,"1_1",1,1,-5.21208,0.85,47.6302658440725,-122.398302549258,0.126635025512278,2.48284240718308
3,25,0,20,1,1,0,50,4,12,10,"1_1",1,1,-5.21208,0.87,47.6302654847513,-122.398316945308,0.120173155190022,2.6010566339057
2,27,4,16,1,0,0,50,3,18,11,"1_1",1,1,-5.1816,0.9,47.6302651254301,-122.398330808171,0.126635025815006,2.78353266410836
1,27,0,22,0,0,0,50,3,12,12,"1_1",1,1,-5.1816,0.89,47.6302640474663,-122.398345737408,0.160230875534921,2.72202002869165
2,28,3,15,2,0,0,50,5,19,13,"1_1",1,1,-5.1816,0.92,47.6302633288239,-122.398358533897,0.120173159689946,2.90861981098928
3,24,3,18,2,0,0,50,5,17,14,"1_1",1,1,-5.21208,0.88,47.6302618915389,-122.398369197637,0.0895171862139418,2.66119468529076
2,26,0,22,0,0,0,50,4,15,15,"1_1",1,1,-5.21208,0.91,47.6302611728964,-122.398380927752,0.120173164319139,2.84573259154091
2,26,0,21,1,0,0,50,5,16,16,"1_1",1,1,-5.21208,0.91,47.6302618915389,-122.39839212468,0.0895171875358586,2.84573259154091
2,25,0,16,5,1,1,50,6,14,17,"1_1",1,1,-5.1816,0.9,47.6302622508601,-122.398402255234,0.0801154411538719,2.78353266410836
1,29,1,19,0,0,0,50,5,20,18,"1_1",1,1,-5.1816,0.94,47.6302622508601,-122.398413985349,0.120173159607314,3.03645612593352
1,27,3,15,3,0,1,50,8,25,19,"1_1",1,1,-5.21208,0.92,47.6302629695026,-122.398424649089,0.0895171848124586,2.90861981098928
0,28,5,16,0,1,0,50,5,15,20,"1_1",1,1,-5.21208,0.91,47.6302647661088,-122.39843531283,0.0801154351751613,2.84573259154091
1,23,1,17,5,2,1,50,3,10,21,"1_1",1,1,-5.1816,0.93,47.6302662033938,-122.398445443384,0.0895171810227393,2.97219432245349
1,24,5,20,0,0,0,50,5,20,22,"1_1",1,1,-5.21208,0.91,47.6302676406788,-122.398455573938,0.0895171772593169,2.84573259154091
1,22,2,21,4,0,0,50,5,19,23,"1_1",1,1,-5.1816,0.93,47.6302690779637,-122.398460905808,0.040057715223636,2.97219432245349
4,22,0,20,1,2,1,50,1,27,24,"1_1",1,1,-5.21208,0.91,47.6302701559275,-122.39846783724,0.0895171738862048,2.84573259154091
2,28,0,18,1,0,1,50,7,15,25,"1_1",1,1,-5.21208,0.93,47.6302697966062,-122.398473702297,0.0895171752674242,2.97219432245349
2,25,2,19,2,0,0,50,1,19,26,"1_1",1,1,-5.21208,0.91,47.6302690779637,-122.398483299664,0.0400577131435009,2.84573259154091
1,26,1,21,1,0,0,50,7,24,27,"1_1",1,1,-5.27304,0.88,47.630269437285,-122.398489697908,0.0895171758675517,2.66119468529076
1,23,1,20,3,2,0,50,3,16,28,"1_1",1,1,-5.24256,0.87,47.6302715932124,-122.39849662934,0.0565637961054076,2.6010566339057
0,24,2,18,2,2,2,50,4,9,29,"1_1",1,1,-5.24256,0.86,47.6302715932124,-122.39850196121,0.080115426149753,2.54160587453648
1,26,0,19,3,0,1,50,1,15,30,"1_1",1,1,-5.24256,0.86,47.6302719525337,-122.398507826267,0.0801154255171296,2.54160587453648
1,25,0,17,5,0,2,50,9,19,31,"1_1",1,1,-5.24256,0.9,47.6302726711762,-122.398513158138,0.0801154244260828,2.78353266410836
4,25,2,14,4,1,0,50,6,13,32,"1_1",1,1,-5.21208,0.9,47.6302730304974,-122.398523288692,0.0801154237501207,2.78353266410836
1,24,5,16,4,0,0,50,7,16,33,"1_1",1,1,-5.21208,0.91,47.6302733898186,-122.398534485619,0.0895171684973479,2.84573259154091
1,29,1,19,0,0,0,50,4,12,34,"1_1",1,1,-5.21208,0.87,47.6302733898186,-122.398543016612,0.0801154231400109,2.6010566339057
1,23,2,23,1,0,0,50,8,15,35,"1_1",1,1,-5.21208,0.92,47.6302733898186,-122.39855048123,0.0801154230750042,2.90861981098928
0,28,0,21,1,0,0,50,10,12,36,"1_1",1,1,-5.21208,0.94,47.6302726711762,-122.398556879475,0.0895171687190149,3.03645612593352
1,24,0,18,3,3,1,50,4,19,37,"1_1",1,1,-5.21208,0.92,47.6302719525337,-122.398564877281,0.0895171712523471,2.90861981098928
1,24,2,19,3,0,1,50,5,21,38,"1_1",1,1,-5.21208,0.96,47.6302701559275,-122.398575541021,0.0895171714752485,3.16704160894107
0,25,3,18,3,0,1,50,3,19,39,"1_1",1,1,-5.21208,0.95,47.6302697966062,-122.398581406079,0.0400577142740278,3.10140522142938
2,28,1,18,1,0,0,50,5,19,40,"1_1",1,1,-5.21208,0.95,47.6302705152487,-122.398588870697,0.0895171727662798,3.10140522142938
0,26,2,19,1,0,2,50,9,9,41,"1_1",1,1,-5.21208,0.97,47.6302697966062,-122.398596868503,0.0801154283016391,3.23336528846859
