red_algae,sugar_kelp,green_algae,soft_sediment,small_rocks,boulder_bedrock,remainder,row_sum,bull_kelp,kelp_crabs,SU,key,site,transect,depth,altitude,DVLlat,DVLlon,EucDIS,area
7,8,7,7,5,6,10,50,7,7,1,1_1,1,1,-5.15112,0.86,47.630268,-122.3982391,NA,2.541605875
7,7,8,7,7,7,7,50,8,8,2,1_1,1,1,-5.21208,0.74,47.63026836,-122.3982412,0,1.881805539
8,7,7,8,6,6,8,50,7,6,3,1_1,1,1,-5.1816,0.81,47.63026656,-122.3982514,0.120173153,2.254661458
6,7,7,8,6,7,9,50,10,6,4,1_1,1,1,-5.21208,0.83,47.63026656,-122.3982583,0.040057718,2.367377349
8,6,6,9,7,6,8,50,7,8,5,1_1,1,1,-5.21208,0.83,47.63026692,-122.3982631,0.040057718,2.367377349
9,7,6,7,7,7,7,50,8,8,6,1_1,1,1,-5.21208,0.84,47.63026764,-122.3982706,0.120173151,2.424766232
7,9,6,8,8,7,5,50,6,7,7,1_1,1,1,-5.21208,0.84,47.63026692,-122.3982802,0.126635023,2.424766232
7,6,6,7,7,7,10,50,8,8,8,1_1,1,1,-5.21208,0.83,47.63026656,-122.3982903,0.080115435,2.367377349
6,8,7,7,8,7,7,50,7,9,9,1_1,1,1,-5.21208,0.85,47.63026584,-122.3983025,0.126635026,2.482842407
7,8,8,6,8,8,5,50,7,6,10,1_1,1,1,-5.21208,0.87,47.63026548,-122.3983169,0.120173155,2.601056634
6,7,7,8,6,7,9,50,8,6,11,1_1,1,1,-5.1816,0.9,47.63026513,-122.3983308,0.126635026,2.783532664
7,7,6,7,7,8,8,50,7,8,12,1_1,1,1,-5.1816,0.89,47.63026405,-122.3983457,0.160230876,2.722020029
6,8,9,8,7,7,5,50,6,9,13,1_1,1,1,-5.1816,0.92,47.63026333,-122.3983585,0.12017316,2.908619811
8,8,7,6,8,8,5,50,6,8,14,1_1,1,1,-5.21208,0.88,47.63026189,-122.3983692,0.089517186,2.661194685
8,7,8,9,9,7,2,50,9,7,15,1_1,1,1,-5.21208,0.91,47.63026117,-122.3983809,0.120173164,2.845732592
6,9,5,6,9,8,7,50,8,7,16,1_1,1,1,-5.21208,0.91,47.63026189,-122.3983921,0.089517188,2.845732592
6,8,7,7,7,7,8,50,9,8,17,1_1,1,1,-5.1816,0.9,47.63026225,-122.3984023,0.080115441,2.783532664
6,9,7,7,8,8,5,50,8,9,18,1_1,1,1,-5.1816,0.94,47.63026225,-122.398414,0.12017316,3.036456126
8,8,7,8,7,8,4,50,6,8,19,1_1,1,1,-5.21208,0.92,47.63026297,-122.3984246,0.089517185,2.908619811
9,7,6,8,8,7,5,50,7,7,20,1_1,1,1,-5.21208,0.91,47.63026477,-122.3984353,0.080115435,2.845732592
6,8,5,7,9,7,8,50,8,6,21,1_1,1,1,-5.1816,0.93,47.6302662,-122.3984454,0.089517181,2.972194322
6,7,7,9,9,7,5,50,7,7,22,1_1,1,1,-5.21208,0.91,47.63026764,-122.3984556,0.089517177,2.845732592
8,6,6,9,7,6,8,50,7,8,23,1_1,1,1,-5.1816,0.93,47.63026908,-122.3984609,0.040057715,2.972194322
9,6,6,8,6,6,9,50,9,6,24,1_1,1,1,-5.21208,0.91,47.63027016,-122.3984678,0.089517174,2.845732592
9,5,8,5,7,8,8,50,7,7,25,1_1,1,1,-5.21208,0.93,47.6302698,-122.3984737,0.089517175,2.972194322
8,9,8,8,8,5,4,50,8,8,26,1_1,1,1,-5.21208,0.91,47.63026908,-122.3984833,0.040057713,2.845732592
7,5,7,6,7,8,10,50,7,6,27,1_1,1,1,-5.27304,0.88,47.63026944,-122.3984897,0.089517176,2.661194685
6,7,4,5,10,5,13,50,9,8,28,1_1,1,1,-5.24256,0.87,47.63027159,-122.3984966,0.056563796,2.601056634
