Location,Site Name,Site,Transect,time,date,flight_time,sec_csum,depth,heading,battery_remaining,lat,lon,satellite_count,temp,avg_dist,avg_conf,EucDIS,lat_smooth,lon_smooth,EucSmooth,heading_degrees,sim_x,sim_y,sim_steps,alt_smooth,width,height,area,img_name,anem_SI,crab_MS,CucEmb_SI,encru_SI,HydBry_SI,KelpBry_SI,SStar_MS,Shell_SU,SS_SU,bould_SU,cob_SU,concr_SU,lgshell_SU,peb_SU,reef_SU,wood_SU,anth_SU,fish_MS,metal_SU,UNIdent,X5rib_KE,art_CA,branch_RE,broad_KE,bullBL_KE,bullST_KE,bushy_RE,cabb_KE,coland_KE,crust_CA,filam_BR,filam_RE,fucus_BR,holdfas_BR,leaf_RE,ribbn_KE,sargass_BR,senes_AL,senes_RE,sugar_KE,ulva_GR,unk_BR,unk_RE,surf_SG
EBM,ERipRap,S4,T1,9:46:57,10/10/2022,0:05:48,0,-10.91184,257,98,47.6270523,-122.3914566,10,55,1.137777778,100,0,47.6270523,-122.3914566,0,277,47.6267523,-122.38975,0,1.137777778,3.19021123,1.394462238,4.448629091,2022_10_10_09-46-57_0.jpg,0,0,0,0,0,0,0,7,9,9,5,0,0,7,0,0,0,0,0,5,0,0,0,0,2,0,0,0,42,0,0,0,0,0,3,0,0,0,0,1,0,10,0,0
EBM,ERipRap,S4,T1,9:48:41,10/10/2022,0:07:32,104,-10.33272,262,97,47.6270523,-122.3914566,10,55,0.829111111,100,0,47.6270523,-122.3914566,0,282,47.62678081,-122.3898992,0,0.829111111,2.324741816,1.016159885,2.362309376,2022_10_10_09-46-57_104.jpg,0,0,0,0,0,0,0,16,7,0,3,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,56,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0
EBM,ERipRap,S4,T1,9:48:49,10/10/2022,0:07:40,112,-9.93648,263,97,47.6270523,-122.3914566,10,55.02,1.080888889,100,0,47.6270523,-122.3914566,0,283,47.62678276,-122.389908,1.31E-06,1.080888889,3.030700669,1.324739126,4.014887755,2022_10_10_09-46-57_112.jpg,0,0,0,0,0,0,0,26,10,4,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,39,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0
EBM,ERipRap,S4,T1,9:48:57,10/10/2022,0:07:48,120,-9.906,262,97,47.6270523,-122.3914566,10,55,1.148222222,100,0,47.6270523,-122.3914566,0,282,47.62678432,-122.3899148,0,1.148222222,3.219496372,1.407262965,4.530678012,2022_10_10_09-46-57_120.jpg,0,0,0,0,0,0,0,21,7,2,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,54,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0
EBM,ERipRap,S4,T1,9:49:05,10/10/2022,0:07:56,128,-9.93648,263,97,47.6270523,-122.3914566,10,55.02,0.989444444,100,0,47.6270523,-122.3914566,0,283,47.62678726,-122.3899287,2.62E-06,0.989444444,2.774299903,1.212664671,3.364295478,2022_10_10_09-46-57_128.jpg,0,0,0,0,0,0,0,22,4,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,2,0,0,0
EBM,ERipRap,S4,T1,9:49:13,10/10/2022,0:08:04,136,-9.84504,263,97,47.6270523,-122.3914566,10,55.02,0.933333333,100,0,47.6270523,-122.3914566,0,283,47.62679046,-122.3899429,1.70E-06,0.933333333,2.61697015,1.143894805,2.993538558,2022_10_10_09-46-57_136.jpg,0,0,0,0,0,0,0,23,12,8,2,0,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,27,0,0
EBM,ERipRap,S4,T1,9:49:21,10/10/2022,0:08:12,144,-9.57072,262,97,47.6270523,-122.3914566,10,55.02,1.136666667,100,0,47.6270523,-122.3914566,0,282,47.62679237,-122.3899519,2.00E-06,1.136666667,3.187095789,1.393100458,4.439944605,2022_10_10_09-46-57_144.jpg,0,0,0,0,0,0,0,23,8,0,4,0,0,20,0,0,0,0,0,12,0,0,0,0,1,0,0,0,18,0,0,3,0,0,7,0,0,0,0,0,1,3,0,0
EBM,ERipRap,S4,T1,9:49:29,10/10/2022,0:08:20,152,-9.6012,263,97,47.6270523,-122.3914566,10,55.02,0.9083,100,0,47.6270523,-122.3914566,0,283,47.62679426,-122.3899604,1.11E-06,0.9083,2.546779272,1.113213912,2.835110115,2022_10_10_09-46-57_152.jpg,0,0,0,0,0,0,0,19,8,0,2,0,0,34,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,2,2,0
EBM,ERipRap,S4,T1,9:47:13,10/10/2022,0:06:04,16,-11.09472,261,98,47.6270523,-122.3914566,10,55,0.892,100,0,47.6270523,-122.3914566,5.35E-09,281,47.62675676,-122.3897755,8.20E-07,0.892,2.501075757,1.093236606,2.734267572,2022_10_10_09-46-57_16.jpg,0,0,0,0,0,0,0,9,0,2,2,0,1,28,0,0,0,0,0,5,0,0,0,0,0,0,0,0,47,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
EBM,ERipRap,S4,T1,9:49:37,10/10/2022,0:08:28,160,-9.4488,263,97,47.6270523,-122.3914566,10,55.02,1.012444444,100,0,47.6270523,-122.3914566,0,283,47.62679748,-122.3899734,8.22E-07,1.012444444,2.838789524,1.240853507,3.522521937,2022_10_10_09-46-57_160.jpg,0,0,0,0,0,0,0,41,1,0,0,0,0,8,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
